texto,calificacion,lugar,categoria,fuente
Un sitio perfecto para disfrutar en familia Nada,5,Hotel Roca Negra del Arenal,alojamiento,booking
El personal es muy amable y los senderos para las habitaciones e instalaciones están muy bien cuidados. Se puede desayunar en el hotel. Los jardines muy bonitos. El área de piscinas con buen mantenimiento.,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel es excepcional. Precioso, tiene una piscina y jacuzzi perfectos. Además viajamos en temporada baja con lo que la teníamos para nosotros solos. El personal del hotel bien. Wifi bien. Del desayuno no puedo opinar pero en frente hay un lugar donde sirven desayunos muy ricos. En la calle principal de la fortuna a una media hora andando al centro. El baño enorme. Tienen un lugar para hacer café o té todo el día. No es raro encontrar colibrís, iguanas, sapos o ranas en el recinto. La sala de juegos, sobre todo el billar necesitaría un poco de mantenimiento, pero esto es un detalle ínfimo. No vimos el volcán por la climatología pero eso no es culpa del hotel. :(",5,Hotel Roca Negra del Arenal,alojamiento,booking
Muy limpio y cómodo Nada a destacar,5,Hotel Roca Negra del Arenal,alojamiento,booking
Ubicación perfecta y super limpio Quizás puede mejorar la conexión de Internet para poder trabajar remoto,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Es muy limpio todo, muy familiar, rodeado de naturaleza de verdad 10 de 10 en todo y el personal del hotel muy amigables Todo excelente",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Las instalaciones son muy bonitas, el comedor, la piscina, la sala de juegos etc Todo muy bien",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Hemos estado solo una noche, pero el hotel es muy bonito y está muy bien cuidado. Habitaciones muy amplias, una especie de casitas con su propio jardín y espacio para dejar el coche. 
Lo que más me gustó fue el baño, enorme y con una ducha super cómoda. Poca oferta gastronómica",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Excelente para descansar. No avisaron antes que no había datáfono y no andaba efectivo, y escribieron antes de que yo llegara, hubieran avisado que no había Datáfono.
Las almohadas ya muy usadas.",5,Hotel Roca Negra del Arenal,alojamiento,booking
El lugar Todo estuvo bueno,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Tremendo lugar para alojarse en las afueras de La Fortuna, una de las mejores ideas por cierto que puedes tener si te dejas caer por allí. Alojamiento estilo cabaña/bungalow rodeada de exuberantes jardines y con privilegiadas vistas (nubes mediante) al Volcán Arenal. Piscina, aparcamiento privado y desayuno potestativo (sin mucho entusiasmo por que lo elijas). A 20 metros -literal- de la mayor tienda de souvenirs que vimos en nuestro viaje a Costa Rica. Si no encuentras allí lo que buscas, no existe. Se oye un poco el ruido de los camiones que pasan por la carretera, pero teniendo en cuenta la distancia a la que está, poco se oye.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La habitación muy acogedora y limpia, pero sin duda lo mejor eran las vistas al volcán arenal. La atención del personal de 10, muy amigables y atentas con nosotros durante toda la estancia.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El lugar es hermosos, si siente como en casa todo bien limpio y las vistas hermosas Nada, todo es perfecto",5,Hotel Roca Negra del Arenal,alojamiento,booking
No hubo desayuno!,5,Hotel Roca Negra del Arenal,alojamiento,booking
Las fotos no hacen justicia de la belleza de lugar!!! Es precioso!! Como tica.. diría que el pinto del restaurante podría mejorar…,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Un excelente Lugar para descansar, en medio de la Naturaleza sin nada de Ruido.
Lo recomiendo al 100%",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Personal muy amable.
Estupendas vistas al volcan.
Buen desayuno.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Es precioso y muy cómodo, la señora Elizabeth hace todo lo posible por ayudarte  a tener una buena estancia Sus instalaciones y limpieza",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La atención del personal de recepción es de 10, muy atentos y amables. Solo estuvimos dos días pero nos habríamos quedado más tiempo: tiene piscina, zona de juegos, billar… Está muy bien situado, cerca de restaurantes y del parque volcán arenal. Los jardines son preciosos. Se respira tranquilidad. Que solo admitieran pago en efectivo.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Las habitaciones nuevas son una pasada, el entorno del hotel es precioso y el personal muy amable. Un gusto habernos alojado allí La segunda noche cambiamos de habitación y no era de las nuevas y se notaba, aún así era muy buena",5,Hotel Roca Negra del Arenal,alojamiento,booking
Todo y especialmente la vista  desde la cabaña Las luces blancas en la habitación . Con una iluminación cálida sería más agradable. También estaría bien más iluminación en el espejo del baño,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Excelente lugar, muchas gracias, súper recomendado Todo bien",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El lugar muy acogedor, limpio, habitacion y baño muy cómodos y amplios. Tenían café y agua caliente para ser utilizado siempre. La piscina y jacuzzi impecables. A una temperatura exquisita",5,Hotel Roca Negra del Arenal,alojamiento,booking
El trato del personal. La limpieza y las camas Todo me gusto,5,Hotel Roca Negra del Arenal,alojamiento,booking
El trato y la limpieza Todo me gusto,5,Hotel Roca Negra del Arenal,alojamiento,booking
Muy buena disposición del personal y hermosa habitación Todo me gustó,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El lugar, las instalaciones y la excelente atención de su personal.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Lo amplio de la habitación, ventanales amplios, muy confortable, ropa de cama bien limpia y blanquita al igual que los paños, almohadas cómodas, aire acondicionado, TV, e internet con buen alcance para poder trabajar durante la noche o en la mañana antes de salir a la jornada laboral. Realmente no me disgustó nada… todo estuvo bastante bien. Quizá lo único uniera sido que la tarifa incluyera el desayuno como en otros hoteles de la zona con un precio similar",5,Hotel Roca Negra del Arenal,alojamiento,booking
Ambiente,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo estuvo muy limpio, desayuno muy rico. .",5,Hotel Roca Negra del Arenal,alojamiento,booking
La tranquilidad,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El trato de Elizabeth fue excepcional. La habitación tenía preciosas vistas al volcán, muy espaciosa. El desayuno muy rico. Recinto muy agradable. Tiene parking dentro",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La naturaleza , la amplitud , todas las instalaciones y el jacuzzi",5,Hotel Roca Negra del Arenal,alojamiento,booking
La tranquilidad del lugar No había gente atendiendo en recepción cuando llegamos,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El alojamiento estaba de 10. Fui con mi pareja y no pudimos escoger un mejor sitio. Tranquilo, en el puro centro, precioso por dentro y las trabajadoras encantadoras. Repetiría sin duda. Si queréis ver más del Hotel, tengo un vídeo en TikTok con todos los detalles: @martacumpliido :)",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo, no puedo decir absolutamente nada mal de este lugar. Literalmente es increíble tanto la atención del personal, como la propia dueña como las instalaciones, la limpieza... Osea todo!! Poco de lo que os cuente se podrá comparar con que lo vivas de verdad! Invito a todo el mundo que ni se lo piense y eliga este maravilloso alojamiento. Gracias a Roca negra por tratarnos de manera tan cercana y de calidad!! Este lugar el increíble",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El complejo es encantador, repartiéndose las habitaciones en casitas desperdigadas por unos bonitos jardines. Piscina y jacuzzi muy apetecibles, además de zona de juegos (billar, futbolín) que vino muy bien. Había varios locales para comer/cenar a muy poca distancia caminando. Persona de atención en recepción encantadora. El desayuno era mejorable",5,Hotel Roca Negra del Arenal,alojamiento,booking
"El hotel muy bonito, bellos jardines, las áreas decoradas con gusto, el hotel es acogedor y muy familiar. No ofrece restaurante, solo desayuno. Solo algunas habitaciones tienen vista al volcán. Tiene piscina y jacuzzi pero no de aguas termales. Buena seguridad, atención al cliente y ubicación.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo, las habitaciones amplias y limpias. La cama King size!, la piscina el jacuzzi , el personal 10/10 Todo perfecto",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La habitación era privada, cómoda, amplia y muy bien equipada El WiFi no llegaba a la habitación 16",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Limpio, confortable, relación calidad-precio muy buena, habitación súper amplia con gran cama. La recepcionista nos ayudó con reservas y fue realmente amable en sus sugerencias y explicaciones del funcionamiento del alojamiento,",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Habitaciones muy limpias y grandes, estuvimos 3 días , trato del personal muy agradable, todas las instalaciones muy cuidadas, piscina, sala de juegos...sin duda el mejor alojamiento que hemos tenido en nuestro viaje, cuidan el mínimo detalle , gracias por hacernos sentir como en casa.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Una verdadera joya en la fortuna.
Ubicación perfecta, a pocos minutos andando del centro, pero con la relajación de estar lejos del bullicio.
Está en una finca cuidada, con fauna y flora, zonas de relax, zonas ajardinadas con vistas al volcán , mucho más bonito aun que las fotos.
El personal es muy muy muy  amable, nos sentimos como en casa, Elisabeth en especial nos acogió con un trato excepcional.
Limpieza e higiene perfecto, suelos brillantes, sábanas limpias.
Una maravilla, gracias",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Muy bien situado, no muy lejos de entrada al parque y cerca del pueblo para poder ir a restaurantes, etc. El personal muy atento y dispuesto a ayudar.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Absolutamente todo. Las instalaciones, la habitación, la limpieza, las camas, el cuarto de baño, las vistas al volcán... Todo en este hotel es maravilloso. Por decir algo, tan solo el tener que pagar el desayuno en efectivo, es un detalle que no encaja con el resto de este hotel.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Es un lugar hermoso a las faldas del Volcán Arenal, rodeado de áreas verdes, pajaritos y muy bien ubicado, nos movilizamos a pie hacia el centro. La atención del personal es increíble, la habitación muy amplia y limpia.  Ademas pudimos disfrutar de su sendero de birdwatching y sala de juegos :).
Sin dudas uno de los mejores alojamientos donde estuvimos en Costa Rica, acogedor y con un exquisito desayuno! Nada, todo fue perfecto",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Destacaría la limpieza de la habitación y la comodidad, el baño está muy nuevo.
Lo lleva una familia y son muy amables, se ofrecieron a hacerlos la colada a un precio razonable. Se puede aparcar el coche dentro de la propiedad. 
También destacar el desayuno, que está muy bien.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Habitación amplia, incluido el baño, personal atento y amplia zona de juegos (piscina, ping pong, billar) Solo se puede pagar en cash/efectivo o PayPal",5,Hotel Roca Negra del Arenal,alojamiento,booking
Todo perfecto,5,Hotel Roca Negra del Arenal,alojamiento,booking
"La piscina, el espacio común, el confort de las habitaciones",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La atencion excelente, el lugar muy lindo y con hermosa vista al volcán, cerca del centro y de restaurantes y balnearios. Lo recomiendo.",5,Hotel Roca Negra del Arenal,alojamiento,booking
